DATE,TIME,実績(万kW)
2018/1/18,21:00,3785
2018/1/18,22:00,3609
2018/1/18,23:00,3355
2018/1/19,0:00,3082
2018/1/19,1:00,2951
2018/1/19,2:00,2891
2018/1/19,3:00,2861
2018/1/19,4:00,2898
2018/1/19,5:00,3097
2018/1/19,6:00,3536
2018/1/19,7:00,3838
2018/1/19,8:00,4114
2018/1/19,9:00,4245
2018/1/19,10:00,4161
2018/1/19,11:00,4064
2018/1/19,12:00,3857
2018/1/19,13:00,3948
2018/1/19,14:00,3912
2018/1/19,15:00,3929
2018/1/19,16:00,4096
2018/1/19,17:00,4269
2018/1/19,18:00,4227
2018/1/19,19:00,4108
2018/1/19,20:00,3967
2018/1/19,21:00,3801
2018/1/19,22:00,3637
2018/1/19,23:00,3394
2018/1/20,0:00,3131
2018/1/20,1:00,2977
2018/1/20,2:00,2902
2018/1/20,3:00,2856
2018/1/20,4:00,2854
2018/1/20,5:00,2932
2018/1/20,6:00,3142
2018/1/20,7:00,3435
2018/1/20,8:00,3822
2018/1/20,9:00,3979
2018/1/20,10:00,3887
2018/1/20,11:00,3783
2018/1/20,12:00,3607
2018/1/20,13:00,3570
2018/1/20,14:00,3512
2018/1/20,15:00,3483
2018/1/20,16:00,3609
2018/1/20,17:00,3896
2018/1/20,18:00,3956
2018/1/20,19:00,3913
2018/1/20,20:00,3843
2018/1/20,21:00,3680
2018/1/20,22:00,3492
2018/1/20,23:00,3300
2018/1/21,0:00,3078
2018/1/21,1:00,2942
2018/1/21,2:00,2855
2018/1/21,3:00,2813
2018/1/21,4:00,2793
2018/1/21,5:00,2860
2018/1/21,6:00,3034
2018/1/21,7:00,3257
2018/1/21,8:00,3465
2018/1/21,9:00,3515
2018/1/21,10:00,3401
2018/1/21,11:00,3297
2018/1/21,12:00,3213
2018/1/21,13:00,3127
2018/1/21,14:00,3078
2018/1/21,15:00,3070
2018/1/21,16:00,3251
2018/1/21,17:00,3655
2018/1/21,18:00,3802
2018/1/21,19:00,3802
2018/1/21,20:00,3751
2018/1/21,21:00,3606
2018/1/21,22:00,3387
2018/1/21,23:00,3172
2018/1/22,0:00,2960
2018/1/22,1:00,2853
2018/1/22,2:00,2792
